source,target,value
Physics, Physical Science, 1
Chemistry, Physical Science, 1
Ecology, Earth Science, 1
Oceanography, Earth Science, 1
Geology, Earth Science, 1
Meteorology, Earth Science, 1
Astronomy, Earth Science, 1
Biology, Life Science, 1
Zoology, Life Science, 1
Human Biology, Life Science, 1
Botany, Life Science, 1
Anthropology, Social Science, 1
Archaeology, Social Science, 1
Political Science, Social Science, 1
Psychology, Social Science, 1
Sociology, Social Science, 1
Linguistics, Social Science, 1
Decision Theory, Formal Science, 1
Logic, Formal Science, 1
Mathematics, Formal Science, 1
Statistics, Formal Science, 1
Systems Theory, Formal Science, 1
Theoretical Computer Science, Formal Science, 1
Engineering, Applied Science, 1
Applied Mathematics, Applied Science, 1
Applied Physics, Applied Science, 1
Medicine, Applied Science, 1
Computer Science, Applied Science, 1
